part_number,official_pin,rev,slash,gauge_awg,color_code,color_name,specification,insulation,insulation_detail,wall,plating,conductor,conductor_material,stranding,conductor_od_in,wire_od_in,insulation_wall_in,weight_lb_per_kft,resistance_ohm_per_kft,temperature_c,voltage_v,m27500_symbol,datasheet,path
M22759_11-16-90,M22759/11-16-90,1,11,16,90,white/black,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x29,0.0535,0.075,0.0107,10.0,4.52,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-16-90/M22759_11-16-90-rev1
M22759_11-16-91,M22759/11-16-91,1,11,16,91,white/brown,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x29,0.0535,0.075,0.0107,10.0,4.52,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-16-91/M22759_11-16-91-rev1
M22759_11-16-92,M22759/11-16-92,1,11,16,92,white/red,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x29,0.0535,0.075,0.0107,10.0,4.52,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-16-92/M22759_11-16-92-rev1
M22759_11-16-93,M22759/11-16-93,1,11,16,93,white/orange,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x29,0.0535,0.075,0.0107,10.0,4.52,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-16-93/M22759_11-16-93-rev1
M22759_11-16-94,M22759/11-16-94,1,11,16,94,white/yellow,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x29,0.0535,0.075,0.0107,10.0,4.52,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-16-94/M22759_11-16-94-rev1
M22759_11-16-95,M22759/11-16-95,1,11,16,95,white/green,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x29,0.0535,0.075,0.0107,10.0,4.52,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-16-95/M22759_11-16-95-rev1
M22759_11-16-96,M22759/11-16-96,1,11,16,96,white/blue,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x29,0.0535,0.075,0.0107,10.0,4.52,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-16-96/M22759_11-16-96-rev1
M22759_11-16-97,M22759/11-16-97,1,11,16,97,white/violet,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x29,0.0535,0.075,0.0107,10.0,4.52,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-16-97/M22759_11-16-97-rev1
M22759_11-16-98,M22759/11-16-98,1,11,16,98,white/gray,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x29,0.0535,0.075,0.0107,10.0,4.52,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-16-98/M22759_11-16-98-rev1
M22759_11-18-0,M22759/11-18-0,1,11,18,0,black,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x30,0.0475,0.068,0.0103,8.14,5.79,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-18-0/M22759_11-18-0-rev1
M22759_11-18-1,M22759/11-18-1,1,11,18,1,brown,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x30,0.0475,0.068,0.0103,8.14,5.79,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-18-1/M22759_11-18-1-rev1
M22759_11-18-2,M22759/11-18-2,1,11,18,2,red,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x30,0.0475,0.068,0.0103,8.14,5.79,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-18-2/M22759_11-18-2-rev1
M22759_11-18-3,M22759/11-18-3,1,11,18,3,orange,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x30,0.0475,0.068,0.0103,8.14,5.79,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-18-3/M22759_11-18-3-rev1
M22759_11-18-4,M22759/11-18-4,1,11,18,4,yellow,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x30,0.0475,0.068,0.0103,8.14,5.79,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-18-4/M22759_11-18-4-rev1
M22759_11-18-5,M22759/11-18-5,1,11,18,5,green,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x30,0.0475,0.068,0.0103,8.14,5.79,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-18-5/M22759_11-18-5-rev1
